car name,miles,vin,primary damage,car image,images
2017 HINO 258/268 , 106k mi  ,VIN: 5PVNJ8JV8H4S63384 ,Collision | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24950769~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 JEEP WRANGLER / TJ SAHARA, 87k mi (Not Required/Exempt) ,VIN: 1J4FA59S42P736937 ,Other | SALT WATER ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24928145~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 TOYOTA TACOMA XTRACAB, 153k mi (Not Required/Exempt) ,VIN: 5TEVL52N04Z444892 ,Other | LEFT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24937891~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2018 HYUNDAI TUCSON LIMITED/SPORT AND ECO/SE, 23k mi  ,VIN: KM8J33A46JU684282 ,Collision | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24952742~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 KIA SPECTRA EX/LX, 156k mi (Not Required/Exempt) ,VIN: KNAFE122975377436 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24961480~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2003 CHEVROLET TRACKER LT, 103k mi (Not Required/Exempt) ,VIN: 2CNBE634836919585 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24961504~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 NISSAN PATHFINDER LE/SE/XE, 208k mi (Not Required/Exempt) ,VIN: JN8DR09Y11W613215 ,Other | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24867580~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2010 NISSAN CUBE S/SL/KROM, 44k mi (Not Actual) ,VIN: JN8AZ2KRXAT167472 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24832453~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2015 CYNERGY CARGO TRAILER , 0-1k mi (Not Actual) ,VIN: 55YGC4430FN004236 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24943134~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2018 NISSAN ROGUE SPORT S/SV/SL, 25k mi  ,VIN: JN1BJ1CR9JW257181 ,Collision | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24919550~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 MAZDA 6 I, 122k mi (Not Required/Exempt) ,VIN: 1YVHP80C385M04054 ,Collision | REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24868239~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 DODGE RAM 1500 ST/SLT, 167k mi (Not Required/Exempt) ,VIN: 1D7HA18N96S591308 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24607726~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 LEXUS ES 350, 154k mi (Not Required/Exempt) ,VIN: JTHBJ46G072018383 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24686656~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 TOYOTA SIENNA LE/XLE, 218k mi (Not Required/Exempt) ,VIN: 4T3ZF13C92U422249 ,Other | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24873158~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 GMC YUKON , 0k mi (Not Required/Exempt) ,VIN: 1GKEK13T14J293942 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24866553~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2010 VOLKSWAGEN JETTA WOLFSBURG, 132k mi  ,VIN: 3VWRA7AJ5AM027629 ,Other | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24884084~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
car name,miles,vin,primary damage,car image,images
2007 VOLKSWAGEN PASSAT 2.0T, 172k mi (Not Required/Exempt) ,VIN: WVWGK73C97P088880 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24819803~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1998 HONDA CR-V EX, 241k mi (Not Required/Exempt) ,VIN: JHLRD1866WC058120 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24830726~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 FORD F150 , 209k mi (Not Required/Exempt) ,VIN: 1FTRX14W25FB56634 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24839997~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 GMC ACADIA SLE, 229k mi (Not Required/Exempt) ,VIN: 1GKER13748J157132 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24722774~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2009 DODGE CHARGER , 218k mi (Not Required/Exempt) ,VIN: 2B3KA43D49H500863 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24732405~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1998 JEEP CHEROKEE SPORT/CLASSIC, 142k mi (Not Required/Exempt) ,VIN: 1J4FJ68S0WL115506 ,Other | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24790558~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
1997 ACURA INTEGRA LS, 81k mi (Not Required/Exempt) ,VIN: JH4DB7650VS001571 ,Other | RIGHT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24872571~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 VOLKSWAGEN NEW BEETLE GLS, 149k mi (Not Required/Exempt) ,VIN: 3VWCD31CX4M406508 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24891027~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 LINCOLN MARK LT , 175k mi (Not Required/Exempt) ,VIN: 5LTPW18536FJ05704 ,Other | LEFT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24892519~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 CHEVROLET EQUINOX LT, 136k mi (Not Required/Exempt) ,VIN: 2CNDL63F576020270 ,Other | LEFT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24896309~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 DODGE RAM 1500 , 157k mi (Not Required/Exempt) ,VIN: 3D7HA18N32G158715 ,Other | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24901059~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2003 HONDA CIVIC EX, 161k mi (Not Required/Exempt) ,VIN: 2HGES26793H561251 ,Other | MECHANICAL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24902168~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2010 NISSAN ALTIMA S, 118k mi (Not Required/Exempt) ,VIN: 1N4AL2APXAN487091 ,Other | REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24903324~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 NISSAN ALTIMA 3.5SE/3.5SL, 198k mi (Not Required/Exempt) ,VIN: 1N4BL21E88N462185 ,Other | LEFT & RIGHT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24903947~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 MINI COOPER , 158k mi (Not Required/Exempt) ,VIN: WMWRC33596TJ78968 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24905998~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 BMW 325 I, 187k mi (Not Required/Exempt) ,VIN: WBAAV33431FU82481 ,Other | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24906001~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 FORD EXCURSION XLT, 224k mi (Not Required/Exempt) ,VIN: 1FMNU40L61EB17691 ,Other | MECHANICAL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24906003~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 FORD FUSION SEL, 196k mi (Not Required/Exempt) ,VIN: 3FAHP08126R221125 ,Other | MECHANICAL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24906531~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 HYUNDAI ACCENT GS, 141k mi (Not Required/Exempt) ,VIN: KMHCM36C97U037504 ,Other | CASH-4-CLUNKER ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24906919~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2009 MINI COOPER S CLUBMAN, 90k mi (Not Required/Exempt) ,VIN: WMWMM33599TP73444 ,Other | RIGHT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24908373~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 CADILLAC CTS HI FEATURE V6, 105k mi (Not Required/Exempt) ,VIN: 1G6DP577670196245 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24909424~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 MAZDA B2300 , 161k mi (Not Required/Exempt) ,VIN: 4F4YR12D26PM02902 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24909833~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 DODGE RAM 1500 , 197k mi (Not Required/Exempt) ,VIN: 3B7HC13Z41M272530 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24915740~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 HONDA ACCORD LX, 238k mi (Not Required/Exempt) ,VIN: JHMCP26388C011357 ,Other | ENGINE DAMAGE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24916222~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 BMW 330 CI, 148k mi (Not Required/Exempt) ,VIN: WBABS534X1JU82306 ,Other | LEFT & RIGHT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24925166~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 TOYOTA CAMRY CE/LE/XLE, 206k mi (Not Required/Exempt) ,VIN: 4T1BG22K51U833197 ,Other | FRONT & REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24927186~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 TOYOTA COROLLA MATRIX XR, 176k mi (Not Required/Exempt) ,VIN: 2T1KR30E27C651268 ,Other | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24933596~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 CHEVROLET SILVERADO C1500 CLASSIC, 258k mi (Not Required/Exempt) ,VIN: 1GCEC14X77Z172428 ,Other | LEFT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24937970~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 ACURA TSX , 206k mi (Not Required/Exempt) ,VIN: JH4CL96865C008145 ,Other | FRONT & REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24943061~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 HONDA ACCORD EX, 245k mi (Not Required/Exempt) ,VIN: 1HGCM66504A036537 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24943688~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 HONDA ACCORD EX, 178k mi (Not Required/Exempt) ,VIN: 1HGCM568X5A173653 ,Other | MECHANICAL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24943699~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 SATURN AURA XR, 271k mi (Not Required/Exempt) ,VIN: 1G8ZV57798F130757 ,Other | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=23167884~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 NISSAN MURANO SL/SE/S, 166k mi (Not Required/Exempt) ,VIN: JN8AZ08T16W424385 ,Other | TRANSMISSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24902591~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 CHEVROLET IMPALA LS, 177k mi (Not Required/Exempt) ,VIN: 2G1WH55K119336220 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24662499~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 FORD ECONOLINE E250 VAN, 154k mi (Not Required/Exempt) ,VIN: 1FTNE24L44HA05040 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=23274881~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 JEEP LIBERTY SPORT, 197k mi (Not Required/Exempt) ,VIN: 1J4GK48K22W139529 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24780644~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2017 RAM 1500 SLT, 14k mi  ,VIN: 1C6RR6TT2HS735379 ,Collision | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=22318397~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 MERCEDES-BENZ E 500 4MATIC, 150k mi (Not Required/Exempt) ,VIN: WDBUF83J54X112999 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24791631~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2003 BMW X5 3.0I, 207k mi (Not Required/Exempt) ,VIN: 5UXFA53523LW24234 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24797536~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 GMC NEW SIERRA C1500, 195k mi (Not Required/Exempt) ,VIN: 2GTEC19T211156756 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24801278~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 HYUNDAI ELANTRA GLS/GT/LIMITED, 222k mi (Not Required/Exempt) ,VIN: KMHDN46D56U357577 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24807446~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 CHEVROLET TRAILBLAZER EXT LS/EXT LT, 220k mi (Not Required/Exempt) ,VIN: 1GNES16P146203354 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24830827~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 PONTIAC G6 GT, 172k mi (Not Required/Exempt) ,VIN: 1G2ZH58N874167713 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24831794~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 DODGE RAM 1500 ST/SLT, 160k mi (Not Required/Exempt) ,VIN: 1D7HU18228S530821 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24832527~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 MAZDA CX-7 , 181k mi (Not Required/Exempt) ,VIN: JM3ER293870130386 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24835998~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 ACURA 3.2TL , 234k mi (Not Required/Exempt) ,VIN: 19UUA56761A032416 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24838235~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2001 MERCEDES-BENZ E 430, 230k mi (Not Required/Exempt) ,VIN: WDBJF70J21B336287 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24840162~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 TOYOTA SEQUOIA SR5, 290k mi (Not Required/Exempt) ,VIN: 5TDZT34A44S217833 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24841538~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2007 TOYOTA CAMRY NEW GENERAT LE/XLE/SE, 186k mi (Not Required/Exempt) ,VIN: 4T1BK46K57U545161 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24845261~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 NISSAN MURANO SL/SE/S, 144k mi (Not Required/Exempt) ,VIN: JN8AZ08T45W315739 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24849102~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 HONDA CIVIC LX, 132k mi (Not Required/Exempt) ,VIN: 2HGES16502H541624 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24851172~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 CHEVROLET TAHOE C1500, 230k mi (Not Required/Exempt) ,VIN: 1GNFC13038R141422 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24854322~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 BUICK RENDEZVOUS CX/CXL, 137k mi (Not Required/Exempt) ,VIN: 3G5DA03L86S591000 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24859127~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2002 HONDA CIVIC EX, 209k mi (Not Required/Exempt) ,VIN: 1HGEM22952L008308 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24859740~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 HONDA ELEMENT EX, 133k mi (Not Required/Exempt) ,VIN: 5J6YH18746L014939 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24863986~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2000 FORD F250 SUPER DUTY, 222k mi (Not Required/Exempt) ,VIN: 1FTNX20F0YEB60332 ,Other | REPOSSESSION ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24880122~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2019 DODGE CHALLENGER , 9k mi  ,VIN: 2C3CDZBT6KH550836 ,Collision | LEFT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24910822~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2019 HYUNDAI ELANTRA SEL/VALUE/LIMITED, 4k mi  ,VIN: 5NPD84LF3KH432377 ,Collision | LEFT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24910866~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2003 CHEVROLET IMPALA LS, 169k mi (Not Required/Exempt) ,VIN: 2G1WH52K239390729 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24910699~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2005 BMW 325 I, 118k mi (Not Required/Exempt) ,VIN: WBAEV33415KW20047 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24910744~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2003 TOYOTA CAMRY LE/XLE/SE, 110k mi (Not Required/Exempt) ,VIN: 4T1BE32K93U177651 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24913764~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2015 FORD MUSTANG GT, 77k mi  ,VIN: 1FA6P8CF3F5350566 ,Other | RIGHT FRONT ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24917544~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2013 DODGE AVENGER SE, 90k mi  ,VIN: 1C3CDZAB2DN710147 ,Other | RIGHT SIDE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24917578~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2010 FORD MUSTANG GT, 101k mi  ,VIN: 1ZVBP8CH4A5130451 ,Other | FRONT END ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24935020~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2004 DODGE DAKOTA SXT, 108k mi (Not Required/Exempt) ,VIN: 1D7GG16K94S654309 ,Other | HAIL ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24943023~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2006 DODGE DURANGO SLT, 190k mi (Not Required/Exempt) ,VIN: 1D4HB48N26F146820 ,Other | UNDERCARRIAGE ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24945226~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2008 MERCURY MILAN PREMIER, 107k mi (Not Required/Exempt) ,VIN: 3MEHM08Z58R652973 ,Other | LEFT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24952673~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
2017 HONDA CR-V LX, 3k mi  ,VIN: 7FARW5H36HE010227 ,Water/Flood | RIGHT REAR ,"<img data-original=""https://vis.iaai.com/singlethumbnail?imageKeys=24954486~SID~I1"" height=""72"" width=""96"" onerror=""this.onerror = null; this.src = '../Images/noimageavl.gif';"" class=""lazy"">",
